timestamp,intake_air_c
2026-05-05 06:00:00,37.7091
,
2026-05-05 06:00:00,37.7102
2026-05-05 06:20:00,41.9433
2026-05-05 06:40:00,37.7208
2026-05-05 07:00:00,36.5889
,
2026-05-05 07:20:00,40.5188
2026-05-05 07:40:00,40.7017
2026-05-05 08:00:00,38.9175
2026-05-05 08:20:00,38.8492
2026-05-05 08:40:00,38.1375
2026-05-05 09:00:00,37.9158
2026-05-05 09:20:00,37.725
,
2026-05-06 07:00:00,36.2083
2026-05-06 07:20:00,36.45
2026-05-06 07:40:00,35.8942
2026-05-06 08:00:00,38.425
2026-05-06 08:20:00,36.0958
2026-05-06 08:40:00,36.2958
2026-05-06 09:00:00,38.511
,
2026-05-06 10:00:00,36.2229
2026-05-06 10:20:00,37.305
2026-05-06 10:40:00,36.6975
2026-05-06 11:00:00,36.2217
,
2026-05-06 11:20:00,42.5694
,
2026-05-06 12:00:00,36.4113
2026-05-06 12:20:00,40.3083
2026-05-06 12:40:00,36.3425
2026-05-06 13:00:00,36.5694
,
2026-05-07 06:00:00,36.0321
2026-05-07 06:20:00,36.0058
2026-05-07 06:40:00,37.7825
2026-05-07 07:00:00,40.0442
2026-05-07 07:20:00,36.2075
2026-05-07 07:40:00,35.8339
,
2026-05-07 10:00:00,35.7786
2026-05-07 10:20:00,37.7633
2026-05-07 10:40:00,36.6067
2026-05-07 11:00:00,35.6111
,
2026-05-07 12:00:00,37.7308
2026-05-07 12:20:00,35.8408
2026-05-07 12:40:00,37.8425
2026-05-07 13:00:00,35.9
,
2026-05-08 06:40:00,37.8292
2026-05-08 07:00:00,38.2642
2026-05-08 07:20:00,39.4975
2026-05-08 07:40:00,37.7258
2026-05-08 08:00:00,40.375
,
2026-05-08 09:40:00,37.1655
2026-05-08 10:00:00,43.0258
2026-05-08 10:20:00,37.57
2026-05-08 10:40:00,37.6455
,
2026-05-08 12:20:00,37.5667
2026-05-08 12:40:00,41.0108
2026-05-08 13:00:00,36.6429
,
2026-05-08 13:40:00,39.5354
2026-05-08 14:00:00,39.5717
,
2026-05-09 07:20:00,38.7825
2026-05-09 07:40:00,37.2967
2026-05-09 08:00:00,37.3083
2026-05-09 08:20:00,37.2353
,
2026-05-09 09:40:00,37.5435
2026-05-09 10:00:00,39.9733
2026-05-09 10:20:00,37.1617
